platen_temp_upper,hydraulic_pressure,density
169.29,155.56,
161.1,142.46,
161.9,162.46,
158.79,142.18,
165.44,162.18,
168.01,141.52,
160.84,161.52,
166.05,154.57,
165.11,147.94,
167.76,167.94,
162.75,157.53,
165.09,152.62,
162.11,147.14,
164.47,167.14,
165.68,145.84,
167.11,165.84,
156.91,168.53,
165.32,146.14,
161.8,166.14,
165.18,140.11,
155.36,160.11,
163.91,169.42,
166.82,140.36,
166.21,160.36,
167.53,139.34,
168.26,159.34,
165.69,155.26,
161.25,141.84,
167.51,161.84,
166.38,149.62,
165.14,169.62,
169.43,155.04,
160.48,156.4,
171.71,136.1,
171.68,156.1,
168.65,156.16,
166.41,145.65,
162.62,165.65,
167.25,143.9,
168.21,163.9,
164.02,160.76,
162.43,159.76,
166.05,155.21,
160.88,159.49,
162.23,144.34,
165.63,164.34,
162.14,141.21,
162.24,161.21,
161.87,147.46,
167.35,167.46,
165.88,147.98,
168.0,167.98,
168.77,142.12,
166.46,162.12,
165.84,162.1,
169.54,135.42,
160.59,155.42,
160.69,149.11,
163.53,169.11,
167.02,155.02,
165.67,150.38,
159.22,138.63,
160.51,158.63,
165.36,146.53,
164.93,166.53,
166.06,139.36,
164.33,159.36,
165.13,152.24,
166.39,141.17,
164.8,161.17,
165.8,149.78,
162.5,169.78,
168.93,149.74,
163.7,169.74,
169.35,147.44,
163.49,167.44,
163.53,143.68,
160.71,163.68,
164.72,149.32,
162.85,169.32,
163.9,157.63,
166.12,146.61,
162.06,166.61,
166.55,162.94,
162.0,151.24,
161.21,147.9,
163.43,167.9,
164.36,147.12,
166.41,167.12,
159.24,147.76,
165.25,167.76,
157.79,148.47,
165.63,168.47,
159.87,147.82,
159.18,167.82,
163.6,157.02,
166.46,139.59,
163.7,159.59,
165.44,143.04,
161.54,163.04,
162.75,153.32,
167.93,151.55,
164.03,137.83,
167.87,157.83,
160.92,132.76,
162.39,152.76,
163.47,146.84,
167.01,166.84,
162.36,137.41,
165.83,157.41,
167.63,137.4,
171.68,157.4,
163.84,160.0,
168.36,150.79,
166.22,149.11,
167.4,169.11,
165.12,157.92,
162.44,152.05,
164.39,169.33,
164.27,141.73,
163.74,161.73,
166.26,141.43,
165.19,161.43,
156.92,152.88,
162.72,155.86,
166.23,164.55,
165.25,159.98,
164.78,137.46,
166.86,157.46,
160.58,143.7,
167.25,163.7,
171.06,163.7,
167.64,163.7,
165.26,163.7,
166.84,163.7,
161.61,163.7,
166.62,163.7,
164.45,163.7,
166.49,163.7,
167.14,163.7,
168.54,163.7,
157.99,163.7,
165.68,163.7,
163.13,163.7,
165.73,163.7,
159.14,163.7,
158.47,163.7,
168.34,163.7,
163.63,163.7,
166.35,163.7,
166.48,163.7,
165.73,0.0,
168.44,0.0,
160.13,0.0,
160.54,0.0,
165.85,0.0,
161.89,0.0,
166.96,0.0,
168.52,0.0,
167.81,0.0,
165.08,0.0,2.505
165.07,0.0,
165.06,0.0,
165.06,0.0,
165.05,0.0,
165.05,0.0,
165.04,0.0,
165.04,0.0,
165.03,0.0,
165.03,0.0,
165.03,0.0,
167.41,20.0,
164.09,40.0,
166.9,60.0,
169.01,80.0,
162.64,100.0,
166.6,120.0,
163.36,140.0,
160.39,160.0,
161.47,138.01,
166.57,158.01,
163.17,152.82,
165.65,154.73,
156.79,147.1,
162.21,167.1,
161.04,136.84,
167.15,156.84,
163.58,137.38,
160.15,157.38,
164.95,159.3,
166.15,134.44,
167.99,154.44,
159.6,143.21,
162.77,163.21,
165.37,158.09,
163.84,142.91,
163.76,162.91,
164.59,151.18,
162.43,145.63,
169.47,165.63,
168.05,144.75,
166.84,164.75,
162.69,148.96,
164.57,168.96,
159.58,148.32,
165.04,168.32,
162.58,149.4,
165.87,169.4,
162.46,159.79,
165.61,145.62,
166.62,165.62,
163.07,152.77,
163.39,148.23,
165.83,168.23,
162.64,162.68,
166.25,153.46,
162.69,145.91,
162.95,165.91,
167.81,157.68,
166.3,152.15,
165.86,158.93,
166.59,147.74,
166.81,167.74,
164.9,140.7,
161.53,160.7,
160.59,158.56,
169.91,150.96,
168.32,156.81,
157.85,142.95,
161.44,162.95,
163.33,143.7,
165.07,163.7,
163.74,146.24,
170.13,166.24,
163.45,153.91,
161.51,145.21,
167.27,165.21,
165.31,138.27,
163.44,158.27,
159.76,156.18,
168.85,138.83,
162.96,158.83,
165.11,151.99,
167.84,155.27,
163.18,150.97,
165.93,150.84,
165.5,134.42,
162.64,154.42,
165.21,158.71,
163.87,147.02,
160.91,167.02,
162.08,135.86,
158.78,155.86,
167.87,153.45,
165.42,150.81,
162.24,150.46,
161.36,159.18,
165.15,160.17,
168.29,150.58,
164.36,154.61,
171.2,163.62,
160.48,139.89,
162.04,159.89,
166.26,155.8,
164.73,145.71,
161.32,165.71,
170.5,152.32,
170.77,147.76,
163.87,167.76,
168.71,146.15,
164.23,166.15,
167.0,145.98,
168.84,165.98,
161.44,148.98,
165.75,168.98,
161.09,143.33,
161.43,163.33,
169.29,161.23,
168.62,150.71,
168.62,147.99,
166.33,167.99,
164.89,157.05,
165.01,134.78,
172.11,154.78,
164.65,136.57,
166.33,156.57,
164.19,156.62,
163.1,162.01,
162.6,142.16,
165.6,162.16,
165.74,139.97,
168.74,159.97,
164.18,146.7,
165.16,166.7,
169.02,135.45,
166.22,155.45,
162.27,151.75,
166.56,156.7,
169.57,141.21,
162.41,161.21,
159.13,142.95,
161.75,162.95,
167.99,143.62,
167.9,163.62,
163.98,128.72,
169.42,148.72,
167.31,168.72,
164.91,132.05,
170.61,152.05,
168.55,140.26,
165.74,160.26,
166.38,160.26,
163.34,160.26,
160.88,160.26,
164.99,160.26,
165.71,160.26,
166.23,160.26,
167.97,160.26,
167.74,160.26,
161.14,160.26,
162.13,160.26,
157.34,160.26,
160.32,160.26,
164.64,160.26,
162.26,160.26,
166.96,160.26,
160.76,160.26,
165.75,160.26,
165.47,160.26,
161.87,160.26,
166.08,160.26,
167.12,0.0,
162.8,0.0,
163.03,0.0,
164.39,0.0,
159.9,0.0,
165.81,0.0,
164.64,0.0,
162.27,0.0,
162.97,0.0,
168.16,0.0,2.499
167.85,0.0,
167.56,0.0,
167.31,0.0,
167.08,0.0,
166.87,0.0,
166.68,0.0,
166.51,0.0,
166.36,0.0,
166.23,0.0,
166.1,0.0,
166.21,20.0,
164.84,40.0,
169.71,60.0,
165.04,80.0,
166.5,100.0,
161.97,120.0,
160.94,140.0,
159.8,160.0,
159.65,135.47,
155.96,155.47,
161.96,160.2,
163.95,153.25,
166.18,157.98,
166.12,149.78,
163.29,169.78,
163.37,154.36,
166.18,141.2,
169.54,161.2,
159.58,149.76,
163.34,169.76,
159.93,145.14,
161.77,165.14,
162.21,135.61,
165.17,155.61,
159.17,158.44,
162.85,152.84,
157.75,146.75,
165.87,166.75,
160.18,151.69,
164.4,142.86,
165.79,162.86,
165.38,152.52,
162.33,152.96,
162.37,144.02,
170.21,164.02,
163.92,144.18,
164.29,164.18,
168.55,173.28,
163.41,143.38,
161.83,163.38,
161.65,147.68,
163.68,167.68,
166.17,196.09,
163.52,196.14,
159.46,198.87,
156.08,195.49,
169.07,197.52,
164.27,199.81,
166.7,197.47,
166.88,199.82,
169.58,134.96,
166.48,154.96,
167.75,144.33,
161.21,164.33,
160.66,162.06,
163.8,158.26,
168.52,161.88,
165.12,146.73,
162.41,166.73,
164.51,154.17,
170.2,161.19,
164.35,163.2,
167.37,132.2,
162.21,152.2,
167.11,164.4,
164.0,164.07,
164.45,126.21,
157.52,146.21,
164.3,166.21,
160.78,149.62,
160.08,169.62,
168.08,149.61,
162.03,169.61,
158.09,163.66,
166.02,134.54,
159.35,154.54,
165.48,155.43,
163.94,158.17,
163.22,156.64,
166.09,140.94,
175.31,160.94,
160.42,138.17,
168.38,158.17,
158.37,146.71,
166.27,166.71,
159.57,158.52,
166.34,153.78,
168.42,155.43,
165.8,154.53,
165.24,153.61,
163.6,152.49,
162.41,143.95,
165.05,163.95,
165.36,144.78,
168.86,164.78,
169.98,150.45,
167.05,148.19,
168.72,168.19,
166.39,150.85,
168.59,151.01,
162.43,148.43,
163.36,168.43,
167.65,150.56,
164.08,141.87,
167.8,161.87,
164.33,144.24,
167.15,164.24,
164.62,148.29,
166.02,168.29,
170.49,151.36,
156.92,148.7,
165.97,168.7,
161.32,148.56,
164.25,168.56,
164.87,158.38,
163.79,139.84,
165.31,159.84,
163.03,154.9,
165.93,159.8,
163.66,140.8,
169.09,160.8,
163.64,156.43,
161.22,154.91,
160.3,153.17,
168.08,143.51,
159.84,163.51,
163.41,148.78,
160.23,168.78,
163.4,145.55,
165.26,165.55,
164.31,145.26,
166.24,165.26,
163.06,155.79,
168.21,157.1,
165.6,148.28,
162.51,168.28,
168.94,146.71,
167.01,166.71,
169.27,156.67,
164.28,153.88,
165.59,153.88,
163.78,153.88,
162.03,153.88,
168.58,153.88,
161.85,153.88,
166.37,153.88,
168.48,153.88,
165.78,153.88,
162.7,153.88,
165.29,153.88,
168.73,153.88,
166.74,153.88,
167.65,153.88,
168.52,153.88,
161.01,153.88,
160.62,153.88,
171.48,153.88,
164.82,153.88,
165.22,153.88,
162.5,153.88,
165.78,0.0,
164.14,0.0,
164.91,0.0,
164.14,0.0,
166.74,0.0,
164.85,0.0,
168.69,0.0,
170.05,0.0,
168.14,0.0,
169.44,0.0,2.489
169.0,0.0,
168.6,0.0,
168.24,0.0,
167.91,0.0,
167.62,0.0,
167.36,0.0,
167.12,0.0,
166.91,0.0,
166.72,0.0,
166.55,0.0,
163.31,20.0,
166.17,40.0,
167.27,60.0,
165.81,80.0,
161.68,100.0,
165.02,120.0,
161.31,140.0,
163.67,160.0,
164.27,145.78,
163.83,165.78,
162.86,160.03,
161.56,155.24,
161.47,150.97,
166.96,151.25,
162.68,156.03,
167.92,144.97,
167.72,164.97,
166.31,140.97,
166.79,160.97,
166.71,149.59,
164.98,169.59,
162.3,144.88,
167.74,164.88,
164.32,151.45,
163.99,144.46,
160.51,164.46,
166.82,160.25,
167.17,150.16,
166.91,166.61,
161.81,132.5,
166.18,152.5,
168.85,148.13,
166.71,168.13,
161.44,159.31,
168.03,144.57,
169.31,164.57,
163.99,151.25,
169.29,145.13,
165.51,165.13,
162.18,138.3,
165.06,158.3,
162.49,157.69,
167.32,145.78,
164.77,165.78,
166.21,140.88,
165.16,160.88,
168.84,156.32,
164.27,150.64,
162.92,147.41,
163.97,167.41,
165.87,151.94,
165.57,148.85,
165.61,168.85,
163.19,157.0,
164.98,156.75,
164.83,162.56,
163.94,151.93,
165.97,150.8,
165.26,161.41,
166.33,153.79,
163.15,160.53,
166.13,137.38,
162.87,157.38,
165.2,151.84,
169.69,149.75,
163.89,169.75,
169.87,160.45,
165.13,147.43,
163.17,167.43,
162.98,147.84,
166.9,167.84,
163.71,144.19,
164.47,164.19,
165.56,149.39,
171.45,169.39,
164.79,141.88,
165.97,161.88,
171.62,140.79,
159.92,160.79,
163.31,138.19,
165.94,158.19,
169.94,147.12,
163.17,167.12,
161.82,150.42,
166.28,144.13,
163.54,164.13,
168.08,152.62,
166.99,164.68,
162.0,148.95,
165.12,168.95,
166.43,140.85,
162.6,160.85,
169.24,143.0,
163.13,163.0,
161.6,146.54,
167.02,166.54,
165.65,157.04,
167.96,160.97,
164.11,138.9,
163.24,158.9,
162.07,160.1,
168.91,171.97,
167.39,141.06,
165.48,161.06,
165.43,139.07,
165.47,159.07,
170.15,153.99,
169.28,164.09,
166.51,151.79,
169.34,155.03,
164.04,151.99,
164.83,144.25,
163.05,164.25,
162.11,149.92,
163.76,169.92,
165.77,147.99,
169.31,167.99,
157.88,152.06,
165.31,148.64,
166.92,168.64,
158.56,157.88,
162.36,139.0,
168.85,159.0,
165.94,148.53,
166.59,168.53,
164.12,165.99,
164.67,166.72,
163.83,141.63,
166.99,161.63,
162.61,147.81,
166.22,167.81,
164.13,165.23,
162.53,152.03,
166.64,165.37,
164.67,155.42,
165.66,168.6,
162.63,151.53,
164.2,162.7,
165.53,144.88,
165.86,164.88,
165.38,164.88,
162.77,164.88,
168.41,164.88,
166.04,164.88,
164.54,164.88,
164.6,164.88,
161.87,164.88,
162.29,164.88,
168.04,164.88,
168.51,164.88,
163.58,164.88,
166.81,164.88,
167.93,164.88,
167.34,164.88,
170.11,164.88,
164.28,164.88,
159.73,164.88,
164.66,164.88,
169.12,164.88,
158.73,164.88,
165.53,0.0,
168.13,0.0,
166.55,0.0,
160.97,0.0,
162.6,0.0,
167.94,0.0,
164.86,0.0,
167.24,0.0,
164.64,0.0,
159.58,0.0,2.469
160.12,0.0,
160.61,0.0,
161.05,0.0,
161.45,0.0,
161.8,0.0,
162.12,0.0,
162.41,0.0,
162.67,0.0,
162.9,0.0,
163.11,0.0,
166.69,20.0,
164.26,40.0,
160.69,60.0,
161.69,80.0,
167.24,100.0,
163.99,120.0,
165.46,140.0,
163.19,160.0,
161.05,144.72,
167.81,164.72,
164.36,147.66,
170.27,167.66,
161.57,148.73,
168.34,168.73,
161.16,152.07,
163.52,142.84,
165.86,162.84,
169.03,149.35,
169.4,169.35,
160.11,151.24,
164.14,136.8,
168.34,156.8,
163.7,155.1,
166.12,145.13,
166.24,165.13,
157.29,155.92,
161.97,160.21,
169.99,153.08,
160.56,154.72,
167.0,135.71,
162.94,155.71,
167.89,150.02,
168.1,147.87,
164.45,167.87,
163.02,145.55,
166.65,165.55,
163.13,157.66,
162.1,142.32,
164.48,162.32,
157.54,165.13,
165.43,154.64,
169.2,161.47,
170.09,139.64,
164.57,159.64,
166.29,156.79,
158.21,159.85,
166.65,161.29,
162.99,157.23,
171.39,153.53,
168.33,143.0,
170.15,163.0,
165.22,152.93,
160.4,152.53,
165.79,150.16,
160.84,168.98,
165.16,160.03,
165.4,144.64,
166.1,164.64,
158.92,139.76,
165.4,159.76,
164.11,149.95,
164.83,169.95,
168.35,160.81,
162.06,150.72,
164.04,145.53,
163.89,165.53,
164.54,148.64,
168.06,168.64,
166.86,152.46,
164.51,161.29,
167.54,167.43,
165.76,143.69,
163.48,163.69,
160.29,147.25,
167.25,167.25,
167.38,151.93,
168.34,164.73,
166.68,163.25,
166.32,147.39,
164.49,167.39,
162.99,140.71,
163.47,160.71,
165.36,161.99,
163.47,151.67,
160.91,157.29,
165.73,143.77,
162.12,163.77,
162.08,131.18,
164.9,151.18,
163.29,144.59,
162.41,164.59,
166.78,148.95,
169.1,168.95,
167.02,146.08,
165.52,166.08,
167.99,137.71,
160.34,157.71,
162.24,145.77,
161.65,165.77,
167.32,142.99,
163.84,162.99,
170.0,162.68,
165.85,146.07,
169.78,166.07,
164.62,141.6,
168.57,161.6,
159.89,157.91,
163.34,141.11,
157.92,161.11,
164.37,131.78,
163.32,151.78,
164.77,156.19,
161.9,146.68,
163.08,166.68,
163.0,159.41,
164.94,175.64,
167.47,138.99,
163.07,158.99,
168.87,170.24,
169.17,145.67,
163.83,165.67,
154.26,149.53,
164.68,169.53,
161.24,149.98,
166.12,169.98,
164.88,151.07,
161.39,153.08,
164.92,136.59,
166.95,156.59,
165.02,151.11,
166.19,149.79,
172.68,169.79,
166.55,150.39,
164.09,142.15,
157.77,162.15,
163.36,166.08,
169.55,156.46,
162.26,136.58,
165.93,156.58,
169.19,143.48,
165.84,143.48,
166.15,143.48,
158.8,143.48,
166.24,143.48,
165.66,143.48,
168.46,143.48,
166.47,143.48,
163.32,143.48,
175.0,143.48,
163.95,143.48,
164.93,143.48,
163.19,143.48,
162.06,143.48,
167.46,143.48,
170.21,143.48,
166.97,143.48,
162.4,143.48,
164.11,143.48,
169.13,143.48,
165.91,143.48,
159.15,0.0,
161.84,0.0,
163.19,0.0,
162.79,0.0,
160.91,0.0,
166.68,0.0,
162.56,0.0,
159.87,0.0,
164.2,0.0,
163.88,0.0,2.497
163.99,0.0,
164.09,0.0,
164.18,0.0,
164.26,0.0,
164.34,0.0,
164.4,0.0,
164.46,0.0,
164.52,0.0,
164.57,0.0,
164.61,0.0,
163.53,20.0,
160.2,40.0,
162.78,60.0,
167.55,80.0,
163.44,100.0,
164.68,120.0,
165.54,140.0,
163.8,160.0,
167.73,138.51,
162.49,158.51,
167.16,152.67,
163.8,147.23,
166.74,167.23,
166.01,135.32,
168.98,155.32,
168.49,155.75,
161.27,151.02,
169.42,162.41,
165.16,151.87,
161.03,144.81,
161.74,164.81,
165.72,139.55,
169.98,159.55,
159.02,149.06,
162.29,169.06,
166.44,137.88,
161.13,157.88,
164.85,140.94,
162.51,160.94,
164.87,153.8,
163.59,151.54,
163.56,145.18,
160.44,165.18,
167.99,160.36,
168.56,149.94,
167.3,169.94,
160.42,147.78,
166.7,167.78,
164.73,142.88,
162.6,162.88,
165.52,162.44,
168.18,149.14,
167.61,169.14,
167.69,149.98,
159.73,169.98,
165.26,134.88,
164.48,154.88,
161.65,152.87,
168.14,165.14,
164.35,148.16,
164.83,168.16,
166.12,161.95,
168.01,152.67,
161.85,151.79,
163.25,153.06,
165.22,142.24,
161.02,162.24,
163.92,159.01,
165.82,149.79,
164.49,169.79,
163.35,159.2,
170.37,143.15,
164.58,163.15,
162.12,136.75,
164.0,156.75,
167.39,141.37,
161.51,161.37,
168.04,163.39,
167.44,137.93,
163.42,157.93,
160.86,162.72,
162.1,154.03,
164.18,149.87,
166.77,169.87,
165.75,165.94,
169.9,147.37,
161.08,167.37,
165.39,154.1,
167.44,157.35,
166.0,149.78,
163.89,169.78,
163.2,146.87,
167.32,166.87,
163.95,148.55,
165.68,168.55,
161.12,153.39,
165.38,161.59,
164.44,151.4,
164.37,151.93,
169.3,154.76,
163.92,154.72,
163.73,139.99,
164.44,159.99,
168.87,149.79,
167.68,169.79,
167.28,152.14,
166.69,144.53,
160.6,164.53,
169.25,146.22,
168.43,166.22,
160.03,163.79,
166.3,152.42,
165.58,130.71,
165.37,150.71,
164.29,156.12,
162.89,142.36,
163.79,162.36,
166.69,142.04,
166.47,162.04,
173.26,150.78,
170.01,139.33,
163.78,159.33,
165.83,153.13,
167.92,140.65,
162.9,160.65,
169.33,146.18,
172.55,166.18,
164.58,163.06,
169.02,145.23,
162.95,165.23,
162.49,161.88,
157.66,149.4,
166.12,169.4,
160.47,150.33,
163.5,146.09,
168.35,166.09,
164.83,151.55,
164.54,155.9,
166.65,152.71,
163.79,145.29,
164.36,165.29,
168.37,150.45,
167.21,141.42,
164.69,161.42,
163.9,149.5,
165.3,169.5,
164.57,152.09,
165.13,144.69,
163.85,164.69,
166.89,130.04,
165.69,130.04,
163.89,130.04,
165.65,130.04,
162.7,130.04,
167.74,130.04,
162.33,130.04,
168.37,130.04,
163.31,130.04,
166.27,130.04,
160.25,130.04,
163.71,130.04,
164.77,130.04,
169.35,130.04,
167.69,130.04,
167.58,130.04,
162.67,130.04,
165.08,130.04,
168.66,130.04,
161.72,130.04,
163.58,130.04,
164.64,0.0,
165.26,0.0,
165.06,0.0,
164.38,0.0,
169.1,0.0,
161.19,0.0,
166.37,0.0,
164.5,0.0,
168.54,0.0,
167.21,0.0,2.492
166.99,0.0,
166.79,0.0,
166.61,0.0,
166.45,0.0,
166.31,0.0,
166.18,0.0,
166.06,0.0,
165.95,0.0,
165.86,0.0,
165.77,0.0,
163.38,20.0,
162.51,40.0,
162.18,60.0,
162.53,80.0,
164.07,100.0,
162.62,120.0,
166.91,140.0,
166.19,160.0,
164.1,142.06,
166.97,162.06,
167.05,143.05,
161.75,163.05,
156.54,159.08,
168.99,150.17,
162.79,148.84,
162.07,168.84,
163.99,143.72,
170.19,163.72,
164.42,145.95,
167.75,165.95,
162.12,158.39,
163.2,155.97,
167.97,141.75,
161.18,161.75,
157.56,140.91,
162.5,160.91,
164.77,157.13,
161.18,145.22,
168.81,165.22,
168.33,169.79,
167.13,165.99,
164.21,152.1,
164.31,141.31,
166.55,161.31,
165.2,154.72,
168.34,136.7,
166.05,156.7,
165.15,146.34,
167.83,166.34,
163.16,146.74,
164.85,166.74,
166.27,157.6,
163.84,152.38,
164.58,159.0,
163.12,155.05,
161.9,153.87,
163.62,159.45,
166.62,139.62,
163.76,159.62,
164.85,156.71,
164.76,153.86,
166.46,153.59,
166.33,144.21,
163.5,164.21,
168.76,155.79,
168.24,155.43,
163.35,143.02,
162.42,163.02,
166.16,157.22,
169.34,147.57,
167.82,167.57,
165.04,145.07,
168.07,165.07,
164.18,160.0,
169.3,144.81,
167.79,164.81,
165.85,164.68,
160.0,158.46,
164.49,150.07,
165.12,160.27,
164.77,145.53,
164.33,165.53,
166.57,155.86,
167.0,164.87,
167.29,158.05,
164.38,156.8,
170.43,152.71,
162.28,152.02,
164.14,145.36,
166.84,165.36,
164.65,153.98,
166.4,146.5,
167.24,166.5,
163.64,142.6,
171.29,162.6,
161.35,147.25,
169.42,167.25,
166.04,147.5,
160.76,167.5,
164.98,138.35,
164.97,158.35,
161.98,148.1,
169.48,168.1,
167.23,142.66,
165.32,162.66,
157.8,148.81,
166.78,168.81,
163.56,156.63,
166.95,157.25,
164.16,158.71,
159.52,147.01,
165.84,167.01,
166.54,149.02,
166.33,169.02,
169.14,157.7,
164.86,147.04,
166.13,167.04,
163.81,147.47,
165.66,167.47,
166.08,144.66,
162.78,164.66,
165.34,154.98,
162.39,137.94,
164.84,157.94,
165.46,148.29,
164.01,168.29,
160.67,147.19,
163.43,167.19,
170.7,150.79,
162.52,162.14,
168.89,134.85,
163.68,154.85,
165.15,133.5,
166.72,153.5,
167.19,159.54,
158.31,154.23,
167.11,147.76,
167.57,167.76,
165.77,142.25,
164.77,162.25,
168.54,145.07,
168.35,165.07,
169.33,142.66,
164.31,162.66,
170.05,152.48,
165.25,134.14,
164.73,154.14,
167.09,156.32,
173.22,151.4,
162.51,138.67,
167.54,138.67,
165.84,138.67,
170.03,138.67,
163.74,138.67,
160.46,138.67,
165.53,138.67,
163.17,138.67,
161.86,138.67,
160.22,138.67,
164.86,138.67,
162.58,138.67,
164.21,138.67,
166.57,138.67,
167.77,138.67,
170.28,138.67,
162.09,138.67,
162.79,138.67,
167.73,138.67,
165.91,138.67,
158.42,138.67,
165.53,0.0,
169.36,0.0,
165.25,0.0,
168.96,0.0,
166.57,0.0,
165.67,0.0,
160.68,0.0,
166.51,0.0,
167.68,0.0,
163.45,0.0,2.506
163.61,0.0,
163.75,0.0,
163.87,0.0,
163.98,0.0,
164.09,0.0,
164.18,0.0,
164.26,0.0,
164.33,0.0,
164.4,0.0,
164.46,0.0,
166.8,20.0,
165.84,40.0,
164.15,60.0,
166.34,80.0,
167.59,100.0,
165.77,120.0,
165.11,140.0,
167.98,160.0,
166.79,134.44,
163.27,154.44,
164.42,148.31,
169.56,168.31,
164.88,140.15,
167.06,160.15,
166.78,152.51,
165.7,148.21,
166.84,168.21,
166.92,137.07,
165.7,157.07,
162.7,155.47,
166.31,155.79,
167.72,146.95,
162.77,166.95,
166.3,142.07,
161.52,162.07,
164.62,148.64,
165.98,168.64,
162.33,153.09,
167.68,149.45,
166.05,169.45,
164.83,160.78,
167.84,159.86,
165.46,152.08,
164.68,152.4,
164.68,146.64,
164.91,166.64,
160.24,141.2,
168.5,161.2,
168.96,159.78,
157.64,162.79,
166.95,144.42,
158.67,164.42,
162.49,158.07,
163.48,148.29,
174.32,168.29,
164.39,147.16,
167.11,167.16,
160.42,146.46,
167.58,166.46,
167.08,162.96,
166.23,162.15,
162.56,147.9,
168.78,167.9,
162.66,154.13,
168.05,147.54,
163.79,167.54,
163.87,147.44,
163.95,167.44,
166.95,142.77,
163.4,162.77,
166.82,141.02,
162.86,161.02,
165.38,154.94,
164.85,156.4,
162.31,160.99,
161.95,149.62,
166.33,169.62,
168.08,157.13,
165.73,149.34,
162.73,169.34,
162.99,144.87,
163.79,164.87,
160.57,143.89,
163.2,163.89,
163.39,139.08,
168.83,159.08,
159.85,161.62,
161.78,156.2,
160.51,155.54,
167.98,152.13,
168.26,151.68,
167.14,147.42,
165.16,167.42,
167.25,138.62,
167.16,158.62,
164.5,141.1,
167.03,161.1,
161.94,151.74,
168.72,156.41,
162.02,142.91,
162.44,162.91,
162.8,147.43,
164.42,167.43,
163.89,144.46,
161.01,164.46,
163.1,153.73,
164.11,159.92,
166.64,151.77,
